twolnLR,p_bruteforce,p_model,lo,hi,z
50.0,0.027059108160827423,0.014801116338277824,0.012725596412071279,0.017429963695412873,2.175372244636785
55.0,0.005171397033251176,0.0022431047054727316,0.001723295024531205,0.0029677686854863283,2.841782442821412
60.0,0.0008089758516928009,0.00035429042957412047,0.00024383929175113625,0.0005253313862935172,3.386237285367957
63.0,0.0002570577472668713,0.0001179662039454671,7.604930419799943e-05,0.0001872278592131094,3.677065572367251
70.0,7.5605219784373915e-06,9.22880377059839e-06,5.116161084993198e-06,1.7148650540438666e-05,4.282775865771562
80.0,0.0,2.506103556358661e-07,1.1247098906198176e-07,5.81799946278302e-07,5.025844959686539
90.0,0.0,7.0092123142376585e-09,2.5603755100350276e-09,2.0263024696567886e-08,5.673163586322946
100.0,0.0,2.0048288929562608e-10,5.995699211619736e-11,7.190740825979056e-10,6.253651283932778
110.0,0.0,5.840169135261632e-12,1.4388051232685103e-12,2.5881285612300435e-11,6.7841111464644905
120.0,0.0,1.7285246325379966e-13,3.53037784525396e-14,9.421126847402424e-13,7.2752791124776515
