twolnLR,p_direct,p_extrap,z
55.0,0.005349135412793918,0.005253864329838685,2.5586572448421734
60.0,0.0008422042990356381,0.000841884372234814,3.140991577675978
63.0,0.00026555991411033637,0.00028061869734383556,3.4496867470103556
70.0,,2.1617209719410396e-05,4.089478470227497
75.0,,3.4639628836119944e-06,4.495890889929702
80.0,,5.550688092861206e-07,4.871037506484858
90.0,,1.4252597214970877e-08,5.550378389209406
100.0,,3.659663882635619e-10,6.159026936552691
110.0,,9.396981849595396e-12,6.71509817795663
120.0,,2.4128791799871794e-13,7.230117637082316
