model,n,median_z,mean_z,d_1,d_2,std,ks_z
LL-current,66133,-0.06815609324868693,0.028139869500833335,-0.06948119698183963,-0.0811395218725901,0.9930423477565676,0.030533443043124775
LL-mle,66133,-0.056997428152758246,0.038172747340809186,-0.06591263060801716,-0.07314048961940334,0.992569969714587,0.03043104263640923
LL-mle-loc,66133,-0.005429377950296236,-0.0020676155588663777,-0.0033719928023830947,-0.004672402582674318,0.9902359688027971,0.013651100274629069
invgamma,66133,-0.0736148059681873,-0.0034762892057289612,-0.058669650552674146,-0.08141170066381387,0.9979258628949248,0.030171076921477358
invgamma-loc,66133,-0.007049211680633245,-0.0027239835857833365,-0.004536313187062435,-0.006895196044334917,0.9981175662548298,0.004272838980481808
betaprime,66133,-0.07295680864382707,-0.0002369400668635302,-0.05998518137692227,-0.08201654242208878,0.9980679723950656,0.029930315437963984
betaprime-loc,66133,-0.08586635796959109,-0.0032758069997085508,-0.06940559176205524,-0.09447628264255359,0.9941215953993209,0.035322343973372305
burr12,66133,0.02282463211274241,0.005615006033789865,0.022076724177037155,0.014894228297521683,0.9849462145854936,0.019417019237107924
burr12-loc,66133,0.023246761665278462,0.005659531437576737,0.022333781924304075,0.01504543873709041,0.9849142532831597,0.019463585423286633
gengamma,66133,-0.12912256312575898,-0.003177207827449693,-0.11041386297309969,-0.14194123962318356,0.9940576965923417,0.054135623487614914
dagum,66133,0.011930352587308079,-0.003576289593706142,0.0143952338469448,0.013820634176583524,0.9938638641548768,0.00845942973283298
cond-invgamma,66133,-0.0786570156098455,-0.004367665457378892,-0.06133095428908414,-0.08614458742231562,0.9965975822261377,0.031893265916222435
cond-invgamma-loc,66133,-0.002182467839692359,-0.0024466730172110806,-0.0004082681868356475,-0.0015423464836011869,0.9965398222683447,0.002412099907095566
cond-LL,66133,-0.05666796179043549,0.04087977979205459,-0.06810518198176402,-0.07430481000408268,0.9913194222806632,0.03198696439577328
cond-LL-loc,66133,0.004865838092581996,-0.007007666716955709,0.006910317088291762,0.008422421483979259,0.9889565620880791,0.012530056092480035
cond-betaprime-loc,66133,-0.07496515796047855,-0.01899494819870296,-0.05594786264043672,-0.07716268731193199,1.0167470750228578,0.030808928060237828
