eps,lambda_prime_mean,lambda_prime_max,N_prime_mean,N_prime_max,num_clusters,ratio_shapiro_p,ratio_ks_p,N_prime_chi_p,N_prime_ks_p
0.9,9.412784684381219,13.242958184069073,10.214285714285714,11,14,0.13750583344216105,0.773943610416424,0.045405016101188245,0.00013229633372686844
0.91,9.668194997691806,19.970784020220343,10.217003567181926,16,1682,6.743636297737927e-28,1.1988121632973195e-11,0.0,0.0
0.92,9.43885759057944,18.647387060991722,10.18600097895252,19,2043,3.292365623523384e-28,9.188916698601082e-13,0.0,0.0
0.93,9.225605042088592,19.007180374657942,10.197707736389685,18,2443,4.609104556938758e-33,4.459131066831795e-17,0.0,0.0
0.94,9.09337017092815,19.963925940820936,10.203592814371257,17,3006,2.1849509537006847e-36,2.2376758175235456e-20,0.0,0.0
0.95,8.92945652529154,20.065347710574848,10.226355247981546,15,3468,6.87774267664496e-41,1.3774984279517433e-27,0.0,0.0
0.96,8.665859199734344,21.83368619534049,10.225706079463858,16,4178,4.001081021396106e-43,3.832916453600418e-28,0.0,0.0
0.97,8.478349674951632,19.57508598950117,10.226045744900063,18,4853,2.39181418780735e-47,3.1117035163851986e-36,0.0,0.0
0.98,8.35643564007708,19.81055467454082,10.239625640120078,17,5663,2.9144156034620026e-49,3.484422628916141e-41,0.0,0.0
0.99,8.088795155845146,20.26445229028722,10.264785757392879,16,6628,2.4293329162560964e-47,1.132912769081178e-28,0.0,0.0
1.0,7.9480871718416015,19.53742591609501,10.254944219066937,17,7888,5.0117716621387935e-43,3.782815905374925e-27,0.0,0.0
1.01,7.8041565076816735,21.306409079891107,10.264795474325501,16,9192,5.744027126333038e-51,1.329780882606443e-37,0.0,0.0
1.02,7.6820359919792205,19.746245298533537,10.260614525139665,17,10740,3.0950955634374508e-49,8.572637026061953e-35,0.0,0.0
1.03,7.525531126697715,21.63065137068633,10.261128302785052,17,12603,1.0265954447693896e-46,5.460645127428043e-32,0.0,0.0
1.04,7.353483066916462,19.987704052766375,10.276513612352701,18,14766,2.116849890490663e-50,2.0162433672344093e-43,0.0,0.0
1.05,7.198214246279537,19.628867386135028,10.283165382335508,17,16870,1.7447411477562301e-47,3.722997949523084e-33,0.0,0.0
1.06,7.079454196023226,19.938236017413857,10.290837458329124,19,19798,3.6830235838861555e-48,2.9468719763248836e-35,0.0,0.0
1.07,6.927808956988478,19.793513824591095,10.301974599860822,20,22992,6.292214268365569e-48,6.377002357763496e-32,0.0,0.0
1.08,6.785053321594656,19.75826633944196,10.3133617921499,19,26471,2.7518703915382904e-50,4.107338162877404e-40,0.0,0.0
1.09,6.667684990019353,19.83264400873774,10.320304017372422,19,30393,3.62671354909651e-49,7.628188344271206e-36,0.0,0.0
1.1,6.547692402662727,19.47192522784855,10.322475570032573,20,34998,4.5643221775127076e-51,1.6557104344779236e-41,0.0,0.0
1.11,6.4186499483860056,20.84065621917829,10.330186114337971,18,40459,9.225255295869894e-55,2.3609936302238906e-47,0.0,0.0
1.12,6.316679953610378,21.684796057552823,10.337880310448782,19,46771,1.1338860340232257e-51,7.636538596931952e-38,0.0,0.0
1.13,6.184517943244751,20.584161015772096,10.347760942445639,20,53393,4.681279229255799e-52,1.8666688042812255e-40,0.0,0.0
1.14,6.068199672478161,20.325894056660875,10.361072469528352,19,60384,9.105673264803554e-46,1.410429853838891e-32,0.0,0.0
1.15,5.961907266270929,19.951405235212682,10.364909662327971,20,69683,5.516598883994468e-49,3.1565785507436955e-36,0.0,0.0
1.16,5.851765391873018,19.60989985078338,10.37139198232244,20,79649,1.3441529518473835e-51,7.039565672733868e-41,0.0,0.0
1.17,5.738738465237629,20.1144631625024,10.386342677466306,20,90003,9.391861081735431e-51,1.739222866738612e-40,0.0,0.0
1.18,5.641069468920844,19.929991438336714,10.391632902123504,20,102425,9.060199171113033e-49,9.636613657790903e-36,0.0,0.0
