eps,iteration,a,b,loc,scale,AIC,BIC,KS_stat,KS_pval
1.1,1,40.90361269567826,10.04798927094114,7.423985016620458,2.907774892520433,203133.75023799943,203167.60242278335,0.0024770573010774455,0.9823486910654935
1.11,1,41.39455525410363,9.91756583435427,7.331348681146433,2.7641567214774274,233165.02470579115,233199.45688336974,0.003446896244752362,0.7209509660332936
1.12,1,41.88988319933973,9.867043543060918,7.163857709251117,2.6835224995158473,268475.29368349956,268510.3057580264,0.003971877843639726,0.450626053447006
1.13,1,42.38836126676108,9.909333536211854,7.048237982684971,2.602206467926583,303656.98128424934,303692.5230239702,0.00311544658655194,0.676718941948322
1.14,1,42.8764533444812,10.137850670731906,6.822513137781314,2.608427176722402,340966.5468180746,341002.58073586726,0.003504500735709959,0.44750636437822966
1.15,1,43.38743982218395,9.771460529366468,6.860353929940856,2.399061361372528,390889.38073387934,390925.98758053756,0.0033046649354963042,0.43109621416980737
1.16,1,43.88591845564231,10.092905920844915,6.5727800007274055,2.4461322395051917,444007.1782371276,444044.3197761689,0.0027890288024412513,0.5642556650102681
1.17,1,44.391588385917075,10.365403624978553,6.35813561322327,2.4611013235315236,497582.33628405415,497619.9666771825,0.003887636272288608,0.13129747718153717
1.18,1,44.88739769517636,10.213770558062802,6.287696685939072,2.3470302161588363,549716.5537819123,549754.6054837722,0.00391385679172096,0.09318003110594197
1.19,1,45.38657573795748,10.095903559759419,6.2542695738450265,2.239289977686249,545792.5861666853,545830.6378685453,0.0032235459269104316,0.24927440325813366
1.2,1,45.88505952823175,10.013559896387926,6.120853701860931,2.155768152849847,542618.4265049719,542656.4782068318,0.0027294823500223497,0.44480054655164125
1.21,1,46.390626256779875,10.270400739377475,5.965632397805812,2.1623971595019973,537766.8239411267,537804.8756429866,0.004289189947586869,0.050329435505129805
1.22,1,46.892246391924054,10.527539876950263,5.709153906227428,2.1896593784384866,534956.3451847652,534994.3968866251,0.004059762447750415,0.07383306398528955
1.23,1,47.388837324626984,10.228443055173472,5.727178577462035,2.046378859811226,531870.1640056956,531908.2157075555,0.0034081344259546675,0.19531607055462819
1.24,1,47.89123539951784,10.303020672370046,5.622327445125899,2.006553443112469,527723.3329657248,527761.3846675847,0.004607958666279388,0.028535826015849697
1.25,1,48.389324406484874,10.211741315779925,5.530252462190655,1.9320517486085957,524700.3673287886,524738.4190306485,0.004291300714536206,0.050147394811845936
1.26,1,48.89235471355942,10.368401668464017,5.3603040995745905,1.92472116783911,521341.92922394996,521379.9809258098,0.004926727279648269,0.015534668725251968
1.27,1,49.39262557231774,10.511015174256096,5.248342228900848,1.907493238149633,517548.1927795481,517586.244481408,0.005721817789766881,0.002855408819562061
1.28,1,49.89334875995678,10.548679352720297,5.128682151385689,1.870309238286224,514180.26150864427,514218.31321050413,0.003907145175497395,0.09416353806151867
1.29,1,50.394041542987246,10.556908868880836,5.052965482314718,1.821532378572896,510558.13956231467,510596.19126417453,0.005202954711835517,0.008875242967345326
1.3,1,50.89486752870777,10.570862011484099,4.965584040419712,1.7779155999181824,507202.2624600525,507240.31416191236,0.0053892699893168805,0.005980109007264789
1.31,1,51.395553969007295,10.600385595051023,4.851170114269299,1.7395140464812828,503829.6674540856,503867.71915594547,0.00559472010660389,0.0038074678641695247
1.32,1,51.896507288501745,10.606503471598721,4.775148784701253,1.6995289891218588,500897.3974566388,500935.44915849867,0.004606657947550996,0.02860433670570728
1.33,1,52.3965232113432,10.841139253183968,4.598013971042848,1.711984681077598,497503.61772537173,497541.6694272316,0.005147338844799121,0.009958555335219135
1.34,1,52.90587592356036,10.798724896345975,4.534692708048155,1.6617439896407538,494494.6379151461,494532.68961700593,0.005951404958506767,0.001670379096208645
1.35,1,53.40028261531927,10.682067294510842,4.471330543711946,1.5968741547074172,491379.20344194106,491417.2551438009,0.004968049740559255,0.014314466282322906
1.36,1,53.9016940693655,10.730556343007821,4.388797047649347,1.5669480645832092,487876.7272343315,487914.77893619135,0.006182239883680385,0.0009538155090561837
1.37,1,54.40664006081269,11.245956388868315,4.186273965522954,1.6345440166253353,484381.6941724615,484419.7458743214,0.00599544198748625,0.001503505048781911
1.38,1,54.90428231624938,10.813911264221636,4.217089161873961,1.5099205537545122,481805.4866146314,481843.53831649123,0.005076431253059677,0.011512912508635672
1.39,1,55.4106602136408,11.089179832210018,4.073267319358009,1.529127696580059,478568.91797012126,478606.9696719811,0.004638341823935965,0.026976167090163816
1.4,1,55.90653134791759,10.897295793220287,4.030798622539149,1.4635040396913124,476598.8522984919,476636.9040003518,0.005990891571040602,0.0015200007479726073
